Sample,K,Runtime(s)
Patient20_SIGAC3_GM,20,0.2673
P5931_normal_rep1,3,0.2924
P5931_normal_rep1,4,0.2724
P5931_normal_rep1,5,0.2766
P5931_normal_rep1,6,0.2180
P5931_normal_rep1,7,0.2444
P5931_normal_rep1,8,0.2242
P5931_normal_rep1,9,0.2260
P5931_normal_rep1,10,0.2190
P5931_normal_rep1,11,0.2228
P5931_normal_rep1,12,0.2180
P5931_normal_rep1,13,0.2192
P5931_normal_rep1,14,0.2204
P5931_normal_rep1,15,0.2192
P5931_normal_rep1,16,0.2361
P5931_normal_rep1,17,0.2176
P5931_normal_rep1,18,0.2220
P5931_normal_rep1,19,0.2217
P5931_normal_rep1,20,0.2179
Patient07_SIGAC4_BE,3,0.2273
Patient07_SIGAC4_BE,4,0.2264
Patient07_SIGAC4_BE,5,0.2350
Patient07_SIGAC4_BE,6,0.2387
Patient07_SIGAC4_BE,7,0.2311
Patient07_SIGAC4_BE,8,0.2302
Patient07_SIGAC4_BE,9,0.2334
Patient07_SIGAC4_BE,10,0.2385
Patient07_SIGAC4_BE,11,0.2281
Patient07_SIGAC4_BE,12,0.2505
Patient07_SIGAC4_BE,13,0.2577
Patient07_SIGAC4_BE,14,0.2361
Patient07_SIGAC4_BE,15,0.2678
Patient07_SIGAC4_BE,16,0.2531
Patient07_SIGAC4_BE,17,0.2761
Patient07_SIGAC4_BE,18,0.2791
Patient07_SIGAC4_BE,19,0.2593
Patient07_SIGAC4_BE,20,0.2378
Patient13_SIGAD8_NSCJ,3,0.2528
Patient13_SIGAD8_NSCJ,4,0.2643
Patient13_SIGAD8_NSCJ,5,0.2686
Patient13_SIGAD8_NSCJ,6,0.2718
Patient13_SIGAD8_NSCJ,7,0.2770
Patient13_SIGAD8_NSCJ,8,0.2663
Patient13_SIGAD8_NSCJ,9,0.2575
Patient13_SIGAD8_NSCJ,10,0.2234
Patient13_SIGAD8_NSCJ,11,0.2208
Patient13_SIGAD8_NSCJ,12,0.2228
